,Region,Year,Fertilizer Tonnes Applied
218,Waikato,2022,363412.0
219,Waikato,2023,265429.0
220,Wellington,2002,70042.0
221,Wellington,2003,78431.0
222,Wellington,2004,71774.0
223,Wellington,2005,80886.0
224,Wellington,2006,70204.0
225,Wellington,2007,62528.0
226,Wellington,2008,57805.0
227,Wellington,2009,32918.0
228,Wellington,2010,46103.0
229,Wellington,2011,57857.23809523809
230,Wellington,2012,55416.0
231,Wellington,2013,53231.0
232,Wellington,2014,55290.0
233,Wellington,2015,53138.0
234,Wellington,2016,55661.0
235,Wellington,2017,53350.0
236,Wellington,2018,61084.0
237,Wellington,2019,55252.0
238,Wellington,2020,56126.0
239,Wellington,2021,54327.0
240,Wellington,2022,54058.0
241,Wellington,2023,37378.0
